MAG_ID	Length	Completion	Redundancy	GC_Content
MAG_1	2495192	90.65	6.5	38.8
MAG_10	722913	56.12	0	49.36
MAG_100	705754	60.43	4.3	29.17
MAG_101	2446458	97.12	0.7	44.02
MAG_102	2626036	95.68	4.3	46.83
MAG_11	1024210	79.14	2.9	36.51
MAG_12	1002832	63.31	0	54.62
MAG_13	482397	59.71	0	33.97
MAG_14	705250	51.8	0.7	41.72
MAG_15	435605	51.08	3.6	34.92
MAG_16	1674982	93.53	5	36.22
MAG_17	906391	84.17	5	33.96
MAG_18	740106	61.87	2.9	54.62
MAG_19	1224161	74.82	0.7	35.03
MAG_2	929599	57.55	5	33.63
MAG_20	2028075	59.71	0.7	50.26
MAG_21	901420	68.35	0	45.91
MAG_22	537059	51.8	5	33.22
MAG_23	1165168	60.43	2.2	52.14
MAG_24	965922	58.99	2.9	30.6
MAG_25	736452	50.36	3.6	35.68
MAG_26	844645	84.89	2.2	32.19
MAG_27	4208014	94.24	7.9	46.4
MAG_28	1060892	72.66	3.6	35.94
MAG_29	879957	61.15	2.2	33.68
MAG_3	836603	71.22	2.2	34.16
MAG_30	2770000	93.53	5	51.18
MAG_31	1852947	52.52	2.9	32.04
MAG_32	1445523	81.29	0.7	32.58
MAG_33	721536	52.52	2.2	35.63
MAG_34	3571394	98.56	2.9	42.18
MAG_35	782534	62.59	1.4	33.1
MAG_36	936092	55.4	0	37.81
MAG_37	2908217	87.77	5	51.31
MAG_38	829494	74.1	2.9	29.02
MAG_39	1156130	74.1	2.2	29.65
MAG_4	508873	66.19	4.3	30.28
MAG_40	419702	53.24	4.3	42.15
MAG_41	1113607	63.31	4.3	45.22
MAG_42	2159294	94.96	5.8	41.58
MAG_43	1350698	77.78	2.5	47.58
MAG_44	1255546	51.08	2.2	50.11
MAG_45	1021722	56.83	5	53.79
MAG_46	1148635	69.78	0	47.51
MAG_47	703337	70.5	3.6	32.66
MAG_48	663232	66.91	2.9	33.02
MAG_49	1770402	66.91	2.2	53.09
MAG_5	904342	54.68	2.9	50.74
MAG_50	1098572	52.52	2.9	53.57
MAG_51	2701255	95.68	6.5	54.64
MAG_52	1401360	51.08	2.9	43.36
MAG_53	858025	73.38	2.9	32.44
MAG_54	1826917	59.71	4.3	40.38
MAG_55	1398132	69.06	4.3	48.66
MAG_56	993483	51.8	2.2	53.51
MAG_57	744773	71.22	5	31.74
MAG_58	1117658	56.12	2.2	36.92
MAG_59	838089	53.24	2.9	43.95
MAG_6	1853342	94.96	2.2	34.77
MAG_60	1627782	71.22	1.4	55.2
MAG_61	1001014	79.14	3.6	36.77
MAG_62	843898	50.36	0.7	31.12
MAG_63	983464	78.42	4.3	30.63
MAG_64	1849532	84.57	4.9	42
MAG_65	810692	55.4	0.7	57
MAG_66	927222	75.54	5	30.67
MAG_67	807657	53.24	4.3	33.57
MAG_68	868724	83.45	3.6	30.25
MAG_69	772064	60.43	0	40.25
MAG_7	1474594	63.31	2.9	52.73
MAG_70	804086	50.36	1.4	33.45
MAG_71	847349	57.55	4.3	29.79
MAG_72	1809391	84.17	5	39.56
MAG_74	1200809	56.83	2.2	32.23
MAG_75	1074705	57.55	2.2	53.07
MAG_76	1492163	64.03	0	40.47
MAG_77	994229	90.65	7.2	33.13
MAG_78	1101622	61.87	4.3	29.5
MAG_79	2286327	51.8	2.2	42.23
MAG_8	641101	53.96	5	33.43
MAG_80	1468703	94.24	3.6	33.22
MAG_81	1900872	84.17	5	57.49
MAG_82	403933	61.87	5	29.89
MAG_83	1703157	95.68	1.4	39.97
MAG_84	628464	51.08	2.9	35.63
MAG_85	1868924	97.84	2.9	45.6
MAG_86	411775	61.15	3.6	29.17
MAG_87	3741056	91.37	0.7	37.6
MAG_88	1960274	73.38	2.9	53.66
MAG_89	1019441	63.31	2.9	40.05
MAG_9	545752	53.24	0	36.97
MAG_90	2617223	93.53	5	55.18
MAG_91	1883559	85.61	5	36.81
MAG_92	3631832	94.24	6.5	38.02
MAG_93	1328065	82.01	2.9	33.57
MAG_94	1545400	85.8	4.9	49.41
MAG_95	767985	70.5	2.2	33.12
MAG_96	2161418	92.81	2.9	38.03
MAG_97	1047092	81.29	1.4	36.13
MAG_98	841440	82.01	3.6	36.67
MAG_99	1111665	63.31	2.9	40.67
